OGEE_Common,OGEE_Kidney,OGEE_Lung,FIPER_Common,FIPER_Kidney,FIPER_Lung,ADAM_Common,ADAM_Kidney,ADAM_Lung
CSE1L,DHX8,DYNC1H1,CKAP5,COPS6,COX7B,DCTN6,COPA,CENPL
CSNK2B,DIS3,DYNC1I2,CLNS1A,COPS8,CPSF1,DDB1,COPB1,CENPM
CSTF1,DKC1,DYNLRB1,CLP1,COPZ1,CPSF2,DDOST,COPB2,CENPN
CSTF3,DMAP1,EBNA1BP2,CLSPN,COX20,CPSF3,DDX10,COPE,CENPT
CTCF,DNAJC17,ECD,CLTC,CPSF1,CPSF4,DDX18,COPG1,CENPW
CTDP1,DNAJC9,ECT2,CMPK1,CPSF2,CPSF6,DDX20,COPS2,CEP192
CTNNBL1,DNM2,EEF1A1,CMTR1,CPSF3,CRCP,DDX21,COPS3,CFAP20
CTPS1,DONSON,EEF1G,CNOT1,CPSF4,CRNKL1,DDX23,COPS4,CFAP298
CTU2,DPAGT1,EEF2,CNOT3,CPSF6,CSE1L,DDX24,COPS5,CFL1
CUL1,DPH3,EFTUD2,COG1,CRCP,CSNK2B,DDX27,COPS6,CFLAR
CUL2,DTL,EIF1AD,COG3,CRNKL1,CSTF1,DDX41,COPS8,CHAF1A
CWC22,DTYMK,EIF1AX,COG8,CSE1L,CSTF3,DDX42,COPZ1,CHAF1B
CYC1,DUT,EIF2B1,COPA,CSNK1A1,CTCF,DDX46,COX17,CHCHD1
CYCS,DUX4,EIF2B2,COPB1,CSTF1,CTDP1,DDX47,CPSF1,CHCHD4
DAD1,DYNC1H1,EIF2B3,COPB2,CSTF3,CTNNBL1,DDX49,CPSF2,CHD4
DARS,DYNC1I2,EIF2S1,COPE,CTCF,CTR9,DDX5,CPSF3,CHEK1
DBR1,DYNLRB1,EIF2S3,COPG1,CTDP1,CWC22,DDX51,CPSF4,CHERP
DCLRE1B,EBNA1BP2,EIF3A,COPS2,CTNNBL1,DAD1,DDX54,CPSF6,CHMP2A
DCTN5,ECD,EIF3B,COPS3,CTR9,DAP3,DDX55,CRCP,CHMP3
DCTN6,ECT2,EIF3CL,COPS4,CTU2,DARS1,DDX56,CRKL,CHMP4B
DDB1,EEF1A1,EIF3D,COPS5,CWC22,DBF4,DDX59,CRNKL1,CHMP5
DDOST,EEF1G,EIF3E,COPS6,CWF19L2,DBR1,DDX6,CSE1L,CHMP6
DDX10,EEF2,EIF3G,COPS8,DAD1,DCTN2,DENR,CSNK1A1,CHMP7
DDX11,EFTUD2,EIF3I,COPZ1,DAP3,DCTN4,DGCR8,CSTF1,CHORDC1
DDX18,EIF1AD,EIF3M,COX17,DARS1,DCTN5,DHDDS,CSTF3,CIAO1
DDX21,EIF1AX,EIF4A1,COX20,DBF4,DCTN6,DHX15,CTCF,CIAO2B
DDX23,EIF2B1,EIF4A3,COX6A1,DBR1,DDB1,DHX16,CTDP1,CIAO3
DDX24,EIF2B2,EIF4E,COX7B,DCTN2,DDOST,DHX33,CTNNBL1,CIAPIN1
DDX27,EIF2B3,EIF5,CPSF1,DCTN3,DDX10,DHX36,CTR9,CINP
DDX3X,EIF2B4,EIF5A,CPSF2,DCTN4,DDX18,DHX37,CTU2,CIT
DDX41,EIF2S1,EIF6,CPSF3,DCTN5,DDX20,DHX38,CUL3,CKAP5
DDX42,EIF2S3,ELAC2,CPSF4,DCTN6,DDX21,DHX8,CWC22,CLNS1A
DDX47,EIF3A,ELL,CPSF6,DDB1,DDX23,DHX9,DAD1,CLP1
DDX49,EIF3B,ELOB,CRCP,DDOST,DDX24,DIMT1,DAP3,CLSPN
DDX51,EIF3CL,ELP1,CRKL,DDX10,DDX27,DIS3,DARS1,CLTC
DDX54,EIF3D,ELP3,CRLS1,DDX11,DDX41,DKC1,DBF4,CMPK1
DDX55,EIF3E,ELP5,CRNKL1,DDX18,DDX42,DMAP1,DBR1,CMTR1
DDX56,EIF3G,ELP6,CSE1L,DDX20,DDX46,DNAJA3,DCLRE1B,CNOT1
DHDDS,EIF3I,EMC3,CSNK1A1,DDX21,DDX47,DNAJC17,DCTN2,CNOT3
DHPS,EIF3M,EP400,CSNK2B,DDX23,DDX49,DNAJC8,DCTN3,COASY
DHX15,EIF4A1,EPRS,CSTF1,DDX24,DDX5,DNAJC9,DCTN4,COG1
DHX33,EIF4A3,ERCC2,CSTF3,DDX27,DDX51,DNM2,DCTN5,COG2
DHX37,EIF4E,ERH,CTCF,DDX41,DDX54,DNMT1,DCTN6,COG3
DHX8,EIF5,ESF1,CTDP1,DDX42,DDX55,DNTTIP2,DDB1,COG8
DIS3,EIF6,ESPL1,CTNNBL1,DDX46,DDX56,DONSON,DDOST,COPA
DKC1,ELL,ETF1,CTR9,DDX47,DDX59,DPAGT1,DDX10,COPB1
DMAP1,ELOB,EXOSC10,CTU2,DDX5,DDX6,DPH3,DDX11,COPB2
