gene;Fiper_consensus_PANCancer;ADAM_PANCancer;Fiper_consensus_lung;ADAM_lung;Fiper_consensus_LungNeuro;ADAM_LungNeuro;Fiper_consensus_NSCLC;ADAM_NSCLC;Fiper_consensus_bone;ADAM_bone;Fiper_consensus_Osteosarcoma;ADAM_Osteosarcoma;Fiper_consensus_Ewing;ADAM_Ewing
ACSS3;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTA1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTA2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTB;NE;NE;NE;E;NE;NE;NE;E;NE;NE;E;NE;NE;NE
ACTBL2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTC1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTG1;E;NE;E;E;E;E;E;E;NE;NE;E;NE;NE;NE
ACTG2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTL10;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTL6A;E;E;E;E;E;E;E;E;E;E;E;E;E;E
ACTL6B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTL7A;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTL7B;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTL8;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTL9;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTMAP;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTN1;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTN2;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
ACTN4;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE;NE
